Rozmiar wektora, Czas mnożenia wektorów, Czas mnożenia wektora przez macierz
56.000000,0.000024,0.000191
56.000000,0.000008,0.000187
56.000000,0.000009,0.000187
56.000000,0.000008,0.000219
56.000000,0.000009,0.000189
56.000000,0.000008,0.000187
56.000000,0.000009,0.000187
56.000000,0.000008,0.000187
56.000000,0.000008,0.000212
56.000000,0.000009,0.000190
57.000000,0.000026,0.000192
57.000000,0.000008,0.000198
57.000000,0.000009,0.000189
57.000000,0.000008,0.000189
57.000000,0.000009,0.000189
57.000000,0.000008,0.000189
57.000000,0.000009,0.000336
57.000000,0.000008,0.000193
57.000000,0.000008,0.000189
57.000000,0.000008,0.000189
58.000000,0.000025,0.000198
58.000000,0.000008,0.000194
58.000000,0.000009,0.000194
58.000000,0.000008,0.000203
58.000000,0.000008,0.000195
58.000000,0.000008,0.000194
58.000000,0.000008,0.000195
58.000000,0.000008,0.000360
58.000000,0.000008,0.000210
58.000000,0.000008,0.000194
59.000000,0.000026,0.000201
59.000000,0.000009,0.000196
59.000000,0.000008,0.000195
59.000000,0.000008,0.000341
59.000000,0.000008,0.000206
59.000000,0.000008,0.000195
59.000000,0.000008,0.000195
59.000000,0.000008,0.000302
59.000000,0.000008,0.000201
59.000000,0.000008,0.000196
60.000000,0.000055,0.000207
60.000000,0.000012,0.000240
60.000000,0.000009,0.000208
60.000000,0.000008,0.000199
60.000000,0.000008,0.000199
60.000000,0.000008,0.000199
60.000000,0.000008,0.000211
60.000000,0.000008,0.000199
60.000000,0.000008,0.000199
60.000000,0.000008,0.000199
61.000000,0.000031,0.000205
61.000000,0.000008,0.000202
61.000000,0.000008,0.000213
61.000000,0.000009,0.000201
61.000000,0.000008,0.000201
61.000000,0.000009,0.000201
61.000000,0.000008,0.000201
61.000000,0.000008,0.000244
61.000000,0.000008,0.000203
61.000000,0.000008,0.000201
62.000000,0.000028,0.000210
62.000000,0.000008,0.000206
62.000000,0.000008,0.000206
62.000000,0.000008,0.000214
62.000000,0.000008,0.000206
62.000000,0.000008,0.000206
62.000000,0.000008,0.000206
62.000000,0.000008,0.000206
62.000000,0.000008,0.000246
62.000000,0.000008,0.000210
63.000000,0.000027,0.000219
63.000000,0.000008,0.000208
63.000000,0.000008,0.000206
63.000000,0.000008,0.000206
